Model_ID,Class,Precision,Recall,F1_Score,Overall_Accuracy
StackedEnsemble_4_AutoML_1_20260617_184901,0,0.85008,0.69089,0.76226,0.61771
StackedEnsemble_4_AutoML_1_20260617_184901,1,0.30000,0.00943,0.01829,0.61771
StackedEnsemble_4_AutoML_1_20260617_184901,2,0.14257,0.54211,0.22577,0.61771
StackedEnsemble_4_AutoML_1_20260617_184901,3,0.00000,0.00000,0.00000,0.61771
StackedEnsemble_3_AutoML_1_20260617_184901,0,0.85188,0.77640,0.81239,0.68385
StackedEnsemble_3_AutoML_1_20260617_184901,1,0.30769,0.00629,0.01233,0.68385
StackedEnsemble_3_AutoML_1_20260617_184901,2,0.17271,0.48851,0.25520,0.68385
StackedEnsemble_3_AutoML_1_20260617_184901,3,0.01613,0.01667,0.01639,0.68385
StackedEnsemble_1_AutoML_1_20260617_184901,0,0.84069,0.58018,0.68655,0.52188
StackedEnsemble_1_AutoML_1_20260617_184901,1,0.04762,0.00157,0.00304,0.52188
StackedEnsemble_1_AutoML_1_20260617_184901,2,0.10081,0.49770,0.16766,0.52188
StackedEnsemble_1_AutoML_1_20260617_184901,3,0.00926,0.01667,0.01190,0.52188
StackedEnsemble_BOF_4_AutoML_1_20260617_184901,0,0.84727,0.69569,0.76403,0.61323
StackedEnsemble_BOF_4_AutoML_1_20260617_184901,1,0.05263,0.00472,0.00866,0.61323
StackedEnsemble_BOF_4_AutoML_1_20260617_184901,2,0.14798,0.44257,0.22180,0.61323
StackedEnsemble_BOF_4_AutoML_1_20260617_184901,3,0.00403,0.03333,0.00719,0.61323
StackedEnsemble_2_AutoML_1_20260617_184901,0,0.84160,0.58497,0.69020,0.52674
StackedEnsemble_2_AutoML_1_20260617_184901,1,0.06061,0.00314,0.00598,0.52674
StackedEnsemble_2_AutoML_1_20260617_184901,2,0.10357,0.50689,0.17199,0.52674
StackedEnsemble_2_AutoML_1_20260617_184901,3,0.01087,0.01667,0.01316,0.52674
StackedEnsemble_BOF_2_AutoML_1_20260617_184901,0,0.84463,0.60693,0.70632,0.54465
StackedEnsemble_BOF_2_AutoML_1_20260617_184901,1,0.07547,0.00629,0.01161,0.54465
StackedEnsemble_BOF_2_AutoML_1_20260617_184901,2,0.10752,0.49923,0.17693,0.54465
StackedEnsemble_BOF_2_AutoML_1_20260617_184901,3,0.02381,0.03333,0.02778,0.54465
StackedEnsemble_BOF_3_AutoML_1_20260617_184901,0,0.84510,0.62177,0.71644,0.55655
StackedEnsemble_BOF_3_AutoML_1_20260617_184901,1,0.05634,0.00629,0.01132,0.55655
StackedEnsemble_BOF_3_AutoML_1_20260617_184901,2,0.11146,0.49617,0.18202,0.55655
StackedEnsemble_BOF_3_AutoML_1_20260617_184901,3,0.01250,0.01667,0.01429,0.55655
GBM_grid_1_AutoML_1_20260617_184901_model_18,0,0.85957,0.53100,0.65647,0.49475
GBM_grid_1_AutoML_1_20260617_184901_model_18,1,0.06161,0.02044,0.03070,0.49475
GBM_grid_1_AutoML_1_20260617_184901_model_18,2,0.13730,0.64319,0.22629,0.49475
GBM_grid_1_AutoML_1_20260617_184901_model_18,3,0.00000,0.00000,0.00000,0.49475
GBM_4_AutoML_1_20260617_184901,0,0.85813,0.46018,0.59909,0.43910
GBM_4_AutoML_1_20260617_184901,1,0.03587,0.01258,0.01863,0.43910
GBM_4_AutoML_1_20260617_184901,2,0.11092,0.68453,0.19090,0.43910
GBM_4_AutoML_1_20260617_184901,3,0.01053,0.01667,0.01290,0.43910
GBM_5_AutoML_1_20260617_184901,0,0.82764,0.34452,0.48652,0.34327
GBM_5_AutoML_1_20260617_184901,1,0.05319,0.00786,0.01370,0.34327
GBM_5_AutoML_1_20260617_184901,2,0.09222,0.68760,0.16262,0.34327
GBM_5_AutoML_1_20260617_184901,3,0.00621,0.01667,0.00905,0.34327
GBM_2_AutoML_1_20260617_184901,0,0.80051,0.29102,0.42685,0.29811
GBM_2_AutoML_1_20260617_184901,1,0.02419,0.00472,0.00789,0.29811
GBM_2_AutoML_1_20260617_184901,2,0.08534,0.67994,0.15164,0.29811
GBM_2_AutoML_1_20260617_184901,3,0.00725,0.01667,0.01010,0.29811
GBM_3_AutoML_1_20260617_184901,0,0.84691,0.41147,0.55386,0.39931
GBM_3_AutoML_1_20260617_184901,1,0.08197,0.01572,0.02639,0.39931
GBM_3_AutoML_1_20260617_184901,2,0.10058,0.68760,0.17549,0.39931
GBM_3_AutoML_1_20260617_184901,3,0.01136,0.01667,0.01351,0.39931
GBM_grid_1_AutoML_1_20260617_184901_model_15,0,0.83430,0.33478,0.47782,0.33815
GBM_grid_1_AutoML_1_20260617_184901_model_15,1,0.05607,0.01887,0.02824,0.33815
GBM_grid_1_AutoML_1_20260617_184901_model_15,2,0.09446,0.71057,0.16676,0.33815
GBM_grid_1_AutoML_1_20260617_184901_model_15,3,0.02105,0.03333,0.02581,0.33815
GBM_grid_1_AutoML_1_20260617_184901_model_1,0,0.85772,0.69259,0.76636,0.62538
GBM_grid_1_AutoML_1_20260617_184901_model_1,1,0.09375,0.00943,0.01714,0.62538
GBM_grid_1_AutoML_1_20260617_184901_model_1,2,0.16099,0.61562,0.25524,0.62538
GBM_grid_1_AutoML_1_20260617_184901_model_1,3,0.03030,0.01667,0.02151,0.62538
GBM_grid_1_AutoML_1_20260617_184901_model_9,0,0.78123,0.18277,0.29624,0.21891
GBM_grid_1_AutoML_1_20260617_184901_model_9,1,0.06939,0.02673,0.03859,0.21891
GBM_grid_1_AutoML_1_20260617_184901_model_9,2,0.08859,0.78254,0.15917,0.21891
GBM_grid_1_AutoML_1_20260617_184901_model_9,3,0.00345,0.01667,0.00571,0.21891
GBM_grid_1_AutoML_1_20260617_184901_model_3,0,0.84937,0.55976,0.67481,0.52149
GBM_grid_1_AutoML_1_20260617_184901_model_3,1,0.04036,0.01415,0.02095,0.52149
GBM_grid_1_AutoML_1_20260617_184901_model_3,2,0.13607,0.68453,0.22702,0.52149
GBM_grid_1_AutoML_1_20260617_184901_model_3,3,0.00000,0.00000,0.00000,0.52149
GBM_grid_1_AutoML_1_20260617_184901_model_8,0,0.84691,0.78955,0.81722,0.69127
GBM_grid_1_AutoML_1_20260617_184901_model_8,1,0.03750,0.00472,0.00838,0.69127
GBM_grid_1_AutoML_1_20260617_184901_model_8,2,0.17686,0.44717,0.25347,0.69127
GBM_grid_1_AutoML_1_20260617_184901_model_8,3,0.03571,0.03333,0.03448,0.69127
GBM_grid_1_AutoML_1_20260617_184901_model_7,0,0.81236,0.27849,0.41479,0.28851
GBM_grid_1_AutoML_1_20260617_184901_model_7,1,0.00000,0.00000,0.00000,0.28851
GBM_grid_1_AutoML_1_20260617_184901_model_7,2,0.08383,0.69525,0.14961,0.28851
GBM_grid_1_AutoML_1_20260617_184901_model_7,3,0.00000,0.00000,0.00000,0.28851
GBM_grid_1_AutoML_1_20260617_184901_model_4,0,0.75772,0.12525,0.21497,0.16082
GBM_grid_1_AutoML_1_20260617_184901_model_4,1,0.10526,0.01572,0.02736,0.16082
GBM_grid_1_AutoML_1_20260617_184901_model_4,2,0.08813,0.66769,0.15571,0.16082
GBM_grid_1_AutoML_1_20260617_184901_model_4,3,0.00059,0.01667,0.00113,0.16082
GBM_grid_1_AutoML_1_20260617_184901_model_16,0,0.83345,0.35673,0.49962,0.35798
GBM_grid_1_AutoML_1_20260617_184901_model_16,1,0.05965,0.02673,0.03692,0.35798
GBM_grid_1_AutoML_1_20260617_184901_model_16,2,0.10049,0.72435,0.17649,0.35798
GBM_grid_1_AutoML_1_20260617_184901_model_16,3,0.01786,0.01667,0.01724,0.35798
GBM_grid_1_AutoML_1_20260617_184901_model_5,0,0.85160,0.43127,0.57257,0.42029
GBM_grid_1_AutoML_1_20260617_184901_model_5,1,0.09639,0.01258,0.02225,0.42029
GBM_grid_1_AutoML_1_20260617_184901_model_5,2,0.11045,0.74426,0.19236,0.42029
GBM_grid_1_AutoML_1_20260617_184901_model_5,3,0.03448,0.03333,0.03390,0.42029
StackedEnsemble_BOF_1_AutoML_1_20260617_184901,0,0.79379,0.32442,0.46059,0.31717
StackedEnsemble_BOF_1_AutoML_1_20260617_184901,1,0.06149,0.02987,0.04021,0.31717
StackedEnsemble_BOF_1_AutoML_1_20260617_184901,2,0.09599,0.55283,0.16357,0.31717
StackedEnsemble_BOF_1_AutoML_1_20260617_184901,3,0.00091,0.01667,0.00172,0.31717
GBM_grid_1_AutoML_1_20260617_184901_model_2,0,0.80567,0.26349,0.39711,0.27610
GBM_grid_1_AutoML_1_20260617_184901_model_2,1,0.06844,0.02830,0.04004,0.27610
GBM_grid_1_AutoML_1_20260617_184901_model_2,2,0.12243,0.65697,0.20640,0.27610
GBM_grid_1_AutoML_1_20260617_184901_model_2,3,0.00362,0.11667,0.00702,0.27610
GBM_1_AutoML_1_20260617_184901,0,0.79034,0.25298,0.38327,0.26574
GBM_1_AutoML_1_20260617_184901,1,0.06954,0.04560,0.05508,0.26574
GBM_1_AutoML_1_20260617_184901,2,0.10862,0.62940,0.18526,0.26574
GBM_1_AutoML_1_20260617_184901,3,0.00065,0.01667,0.00125,0.26574
XRT_1_AutoML_1_20260617_184901,0,0.84847,0.55327,0.66979,0.51766
XRT_1_AutoML_1_20260617_184901,1,0.11818,0.02044,0.03485,0.51766
XRT_1_AutoML_1_20260617_184901,2,0.13433,0.68913,0.22483,0.51766
XRT_1_AutoML_1_20260617_184901,3,0.03597,0.08333,0.05025,0.51766
GBM_grid_1_AutoML_1_20260617_184901_model_10,0,0.84460,0.29751,0.44002,0.31653
GBM_grid_1_AutoML_1_20260617_184901_model_10,1,0.08848,0.09906,0.09347,0.31653
GBM_grid_1_AutoML_1_20260617_184901_model_10,2,0.10484,0.74273,0.18375,0.31653
GBM_grid_1_AutoML_1_20260617_184901_model_10,3,0.01000,0.03333,0.01538,0.31653
GBM_grid_1_AutoML_1_20260617_184901_model_13,0,0.86129,0.80841,0.83401,0.71686
GBM_grid_1_AutoML_1_20260617_184901_model_13,1,0.07143,0.00943,0.01667,0.71686
GBM_grid_1_AutoML_1_20260617_184901_model_13,2,0.22486,0.56508,0.32171,0.71686
GBM_grid_1_AutoML_1_20260617_184901_model_13,3,0.00000,0.00000,0.00000,0.71686
GBM_grid_1_AutoML_1_20260617_184901_model_17,0,0.75584,0.16515,0.27107,0.19422
GBM_grid_1_AutoML_1_20260617_184901_model_17,1,0.07865,0.01101,0.01931,0.19422
GBM_grid_1_AutoML_1_20260617_184901_model_17,2,0.07201,0.67841,0.13020,0.19422
GBM_grid_1_AutoML_1_20260617_184901_model_17,3,0.00000,0.00000,0.00000,0.19422
DRF_1_AutoML_1_20260617_184901,0,0.84851,0.57074,0.68244,0.52751
DRF_1_AutoML_1_20260617_184901,1,0.06075,0.02044,0.03059,0.52751
DRF_1_AutoML_1_20260617_184901,2,0.14116,0.63553,0.23100,0.52751
DRF_1_AutoML_1_20260617_184901,3,0.01282,0.06667,0.02151,0.52751
GBM_grid_1_AutoML_1_20260617_184901_model_20,0,0.82374,0.28761,0.42636,0.30322
GBM_grid_1_AutoML_1_20260617_184901_model_20,1,0.11881,0.01887,0.03256,0.30322
GBM_grid_1_AutoML_1_20260617_184901_model_20,2,0.09503,0.76110,0.16896,0.30322
GBM_grid_1_AutoML_1_20260617_184901_model_20,3,0.00441,0.01667,0.00697,0.30322
GBM_grid_1_AutoML_1_20260617_184901_model_11,0,0.82609,0.29086,0.43024,0.30617
GBM_grid_1_AutoML_1_20260617_184901_model_11,1,0.07132,0.07075,0.07103,0.30617
GBM_grid_1_AutoML_1_20260617_184901_model_11,2,0.11745,0.71210,0.20165,0.30617
GBM_grid_1_AutoML_1_20260617_184901_model_11,3,0.00211,0.03333,0.00396,0.30617
GBM_grid_1_AutoML_1_20260617_184901_model_14,0,0.85854,0.56966,0.68489,0.53135
GBM_grid_1_AutoML_1_20260617_184901_model_14,1,0.06107,0.07547,0.06751,0.53135
GBM_grid_1_AutoML_1_20260617_184901_model_14,2,0.17033,0.64165,0.26919,0.53135
GBM_grid_1_AutoML_1_20260617_184901_model_14,3,0.00717,0.03333,0.01180,0.53135
GBM_grid_1_AutoML_1_20260617_184901_model_21,0,0.87230,0.59997,0.71095,0.56128
GBM_grid_1_AutoML_1_20260617_184901_model_21,1,0.04944,0.05503,0.05208,0.56128
GBM_grid_1_AutoML_1_20260617_184901_model_21,2,0.19566,0.71822,0.30754,0.56128
GBM_grid_1_AutoML_1_20260617_184901_model_21,3,0.01141,0.05000,0.01858,0.56128
GBM_grid_1_AutoML_1_20260617_184901_model_12,0,0.84378,0.45183,0.58852,0.43309
GBM_grid_1_AutoML_1_20260617_184901_model_12,1,0.05060,0.02673,0.03498,0.43309
GBM_grid_1_AutoML_1_20260617_184901_model_12,2,0.11581,0.68300,0.19805,0.43309
GBM_grid_1_AutoML_1_20260617_184901_model_12,3,0.00000,0.00000,0.00000,0.43309
GBM_grid_1_AutoML_1_20260617_184901_model_6,0,0.86113,0.51013,0.64071,0.48605
GBM_grid_1_AutoML_1_20260617_184901_model_6,1,0.06349,0.05660,0.05985,0.48605
GBM_grid_1_AutoML_1_20260617_184901_model_6,2,0.14362,0.70291,0.23850,0.48605
GBM_grid_1_AutoML_1_20260617_184901_model_6,3,0.02252,0.08333,0.03546,0.48605
GBM_grid_1_AutoML_1_20260617_184901_model_19,0,0.85067,0.49327,0.62445,0.47019
GBM_grid_1_AutoML_1_20260617_184901_model_19,1,0.06510,0.05660,0.06056,0.47019
GBM_grid_1_AutoML_1_20260617_184901_model_19,2,0.13972,0.68300,0.23199,0.47019
GBM_grid_1_AutoML_1_20260617_184901_model_19,3,0.00935,0.05000,0.01575,0.47019
GBM_grid_1_AutoML_1_20260617_184901_model_23,0,0.82263,0.39013,0.52926,0.35786
GBM_grid_1_AutoML_1_20260617_184901_model_23,1,0.07480,0.14937,0.09969,0.35786
GBM_grid_1_AutoML_1_20260617_184901_model_23,2,0.06908,0.26340,0.10945,0.35786
GBM_grid_1_AutoML_1_20260617_184901_model_23,3,0.00708,0.11667,0.01335,0.35786
GBM_grid_1_AutoML_1_20260617_184901_model_22,0,0.84184,0.31112,0.45433,0.31960
GBM_grid_1_AutoML_1_20260617_184901_model_22,1,0.08219,0.10377,0.09173,0.31960
GBM_grid_1_AutoML_1_20260617_184901_model_22,2,0.18445,0.64319,0.28669,0.31960
GBM_grid_1_AutoML_1_20260617_184901_model_22,3,0.00000,0.00000,0.00000,0.31960
DeepLearning_grid_1_AutoML_1_20260617_184901_model_2,0,0.87223,0.72306,0.79067,0.65775
DeepLearning_grid_1_AutoML_1_20260617_184901_model_2,1,0.12575,0.06604,0.08660,0.65775
DeepLearning_grid_1_AutoML_1_20260617_184901_model_2,2,0.19943,0.64778,0.30497,0.65775
DeepLearning_grid_1_AutoML_1_20260617_184901_model_2,3,0.00000,0.00000,0.00000,0.65775
GLM_1_AutoML_1_20260617_184901,0,0.87025,0.80687,0.83736,0.71993
GLM_1_AutoML_1_20260617_184901,1,0.05769,0.00943,0.01622,0.71993
GLM_1_AutoML_1_20260617_184901,2,0.23485,0.61715,0.34023,0.71993
GLM_1_AutoML_1_20260617_184901,3,0.00000,0.00000,0.00000,0.71993
DeepLearning_grid_1_AutoML_1_20260617_184901_model_5,0,0.86457,0.82233,0.84292,0.72799
DeepLearning_grid_1_AutoML_1_20260617_184901_model_5,1,0.10526,0.04403,0.06208,0.72799
DeepLearning_grid_1_AutoML_1_20260617_184901_model_5,2,0.24589,0.52680,0.33528,0.72799
DeepLearning_grid_1_AutoML_1_20260617_184901_model_5,3,0.00000,0.00000,0.00000,0.72799
DeepLearning_grid_1_AutoML_1_20260617_184901_model_3,0,0.87209,0.74223,0.80194,0.67004
DeepLearning_grid_1_AutoML_1_20260617_184901_model_3,1,0.01852,0.00157,0.00290,0.67004
DeepLearning_grid_1_AutoML_1_20260617_184901_model_3,2,0.19309,0.66769,0.29955,0.67004
DeepLearning_grid_1_AutoML_1_20260617_184901_model_3,3,0.00000,0.00000,0.00000,0.67004
DeepLearning_1_AutoML_1_20260617_184901,0,0.86593,0.47039,0.60962,0.44933
DeepLearning_1_AutoML_1_20260617_184901,1,0.07317,0.00943,0.01671,0.44933
DeepLearning_1_AutoML_1_20260617_184901,2,0.10993,0.71057,0.19040,0.44933
DeepLearning_1_AutoML_1_20260617_184901,3,0.00000,0.00000,0.00000,0.44933
DeepLearning_grid_1_AutoML_1_20260617_184901_model_1,0,0.83414,0.98763,0.90442,0.82459
DeepLearning_grid_1_AutoML_1_20260617_184901_model_1,1,0.00000,0.00000,0.00000,0.82459
DeepLearning_grid_1_AutoML_1_20260617_184901_model_1,2,0.36478,0.08882,0.14286,0.82459
DeepLearning_grid_1_AutoML_1_20260617_184901_model_1,3,0.00000,0.00000,0.00000,0.82459
DeepLearning_grid_3_AutoML_1_20260617_184901_model_2,0,0.84016,0.56162,0.67322,0.51548
DeepLearning_grid_3_AutoML_1_20260617_184901_model_2,1,0.01408,0.00314,0.00514,0.51548
DeepLearning_grid_3_AutoML_1_20260617_184901_model_2,2,0.11788,0.60490,0.19730,0.51548
DeepLearning_grid_3_AutoML_1_20260617_184901_model_2,3,0.00000,0.00000,0.00000,0.51548
DeepLearning_grid_3_AutoML_1_20260617_184901_model_1,0,0.88340,0.55296,0.68017,0.52508
DeepLearning_grid_3_AutoML_1_20260617_184901_model_1,1,0.00000,0.00000,0.00000,0.52508
DeepLearning_grid_3_AutoML_1_20260617_184901_model_1,2,0.14013,0.80858,0.23886,0.52508
DeepLearning_grid_3_AutoML_1_20260617_184901_model_1,3,0.00000,0.00000,0.00000,0.52508
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,0,0.85092,0.96645,0.90501,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,1,0.00000,0.00000,0.00000,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,2,0.43949,0.31700,0.36833,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,3,0.00000,0.00000,0.00000,0.82613
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,0,0.75649,0.15324,0.25485,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,1,0.04688,0.00472,0.00857,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,2,0.07684,0.75804,0.13953,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,3,0.00000,0.00000,0.00000,0.19051
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,0,0.85095,0.73805,0.79049,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,1,0.06377,0.03459,0.04485,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,2,0.14831,0.42266,0.21957,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,3,0.00000,0.00000,0.00000,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,0,0.86631,0.25251,0.39104,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,1,0.07746,0.06918,0.07309,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,2,0.10908,0.89587,0.19448,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,3,0.00000,0.00000,0.00000,0.28941
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,0,0.72109,0.01639,0.03205,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,1,0.00000,0.00000,0.00000,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,2,0.08425,0.98775,0.15525,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,3,0.00000,0.00000,0.00000,0.09608
